schema_version,recorded_at_utc,git_sha,git_ref,workflow_run_id,os,arch,compiler,build_type,benchmark_suite,benchmark_name,frames,dt_seconds,milliseconds_total,milliseconds_per_frame,metric_type,median_milliseconds_per_frame,stddev_milliseconds_per_frame,cv_percent,peak_rss_kb,allocator_delta_bytes,golden_milliseconds_per_frame,regression_percent,threshold_percent,pass_fail,machine_tag
1,2026-03-17T04:26:19Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,macos,arm64,clang,Release,performance,gjk,2000,0.0166667,0.228000,0.000114,total,0.000114,0.000000,0.00,2080,144,0.000672,-83.02,5.00,PASS,macos-14-gha
1,2026-03-17T04:26:19Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,macos,arm64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.235000,0.001175,median,0.000370,0.000031,8.28,1808,16152,0.006325,-94.15,2.00,PASS,macos-14-gha
1,2026-03-17T04:26:19Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23178291054,macos,arm64,clang,Release,performance,solver,200,0.0166667,0.873000,0.004365,total,0.004365,0.000000,0.00,2080,9728,0.015695,-72.19,5.00,PASS,macos-14-gha
1,2026-03-18T04:31:17Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,linux,x64,clang,Release,performance,broadphase,200,0.0166667,45.941000,0.229705,total,0.229705,0.000000,0.00,4224,64512,1.455000,-84.21,5.00,PASS,ubuntu-22.04-gha
1,2026-03-18T04:31:17Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,10.540000,0.105400,median,0.020730,0.003104,14.98,4480,11432,0.052930,-60.84,10.00,PASS,ubuntu-22.04-gha
1,2026-03-18T04:31:17Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.287000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000672,-78.63,5.00,PASS,ubuntu-22.04-gha
1,2026-03-18T04:31:17Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.284000,0.001420,median,0.000465,0.000012,2.53,4096,16152,0.006325,-92.65,2.00,PASS,ubuntu-22.04-gha
1,2026-03-18T04:31:17Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,linux,x64,clang,Release,performance,solver,200,0.0166667,0.566000,0.002830,total,0.002830,0.000000,0.00,4224,9728,0.015695,-81.97,5.00,PASS,ubuntu-22.04-gha
1,2026-03-18T04:31:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,94.274000,0.471370,total,0.471370,0.000000,0.00,4640,44500,1.455000,-67.60,5.00,PASS,windows-2022-gha
1,2026-03-18T04:31:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,11.075000,0.110750,median,0.021740,0.001559,7.17,4612,11796,0.052930,-58.93,10.00,PASS,windows-2022-gha
1,2026-03-18T04:31:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.322000,0.000161,total,0.000161,0.000000,0.00,4640,144,0.000672,-76.02,5.00,PASS,windows-2022-gha
1,2026-03-18T04:31:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.289000,0.001445,median,0.000480,0.000002,0.49,4680,19996,0.006325,-92.41,2.00,PASS,windows-2022-gha
1,2026-03-18T04:31:25Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.607000,0.003035,total,0.003035,0.000000,0.00,4640,9728,0.015695,-80.66,5.00,PASS,windows-2022-gha
1,2026-03-18T04:31:33Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,macos,arm64,clang,Release,performance,broadphase,200,0.0166667,36.068000,0.180340,total,0.180340,0.000000,0.00,2064,64512,1.455000,-87.61,5.00,PASS,macos-14-gha
1,2026-03-18T04:31:33Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,macos,arm64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,4.541000,0.045410,median,0.009360,0.001092,11.66,2160,11432,0.052930,-82.32,10.00,PASS,macos-14-gha
1,2026-03-18T04:31:33Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,macos,arm64,clang,Release,performance,gjk,2000,0.0166667,0.180000,0.000090,total,0.000090,0.000000,0.00,2080,144,0.000672,-86.60,5.00,PASS,macos-14-gha
1,2026-03-18T04:31:33Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,macos,arm64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.218000,0.001090,median,0.000365,0.000010,2.82,2336,16152,0.006325,-94.23,2.00,PASS,macos-14-gha
1,2026-03-18T04:31:33Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23229083799,macos,arm64,clang,Release,performance,solver,200,0.0166667,0.247000,0.001235,total,0.001235,0.000000,0.00,2112,9728,0.015695,-92.13,5.00,PASS,macos-14-gha
1,2026-03-21T04:11:51Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,linux,x64,clang,Release,performance,broadphase,200,0.0166667,48.021000,0.240105,total,0.240105,0.000000,0.00,4224,64512,1.455000,-83.50,5.00,PASS,ubuntu-22.04-gha
1,2026-03-21T04:11:51Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,7.094000,0.070940,median,0.013970,0.000471,3.37,4480,11432,0.052930,-73.61,10.00,PASS,ubuntu-22.04-gha
1,2026-03-21T04:11:51Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.286000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000672,-78.70,5.00,PASS,ubuntu-22.04-gha
1,2026-03-21T04:11:51Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.317000,0.001585,median,0.000530,0.000047,8.86,4224,16152,0.006325,-91.62,2.00,PASS,ubuntu-22.04-gha
1,2026-03-21T04:11:51Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,linux,x64,clang,Release,performance,solver,200,0.0166667,0.571000,0.002855,total,0.002855,0.000000,0.00,4224,9728,0.015695,-81.81,5.00,PASS,ubuntu-22.04-gha
1,2026-03-21T04:11:59Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,82.920000,0.414600,total,0.414600,0.000000,0.00,4660,44500,1.455000,-71.51,5.00,PASS,windows-2022-gha
1,2026-03-21T04:11:59Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,13.195000,0.131950,median,0.024890,0.002294,9.22,4668,11796,0.052930,-52.98,10.00,PASS,windows-2022-gha
1,2026-03-21T04:11:59Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.321000,0.000160,total,0.000160,0.000000,0.00,4660,144,0.000672,-76.10,5.00,PASS,windows-2022-gha
1,2026-03-21T04:11:59Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.296000,0.001480,median,0.000485,0.000012,2.43,4496,19996,0.006325,-92.33,2.00,PASS,windows-2022-gha
1,2026-03-21T04:11:59Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.606000,0.003030,total,0.003030,0.000000,0.00,4660,9728,0.015695,-80.69,5.00,PASS,windows-2022-gha
1,2026-03-21T04:12:08Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,macos,arm64,clang,Release,performance,broadphase,200,0.0166667,42.546000,0.212730,total,0.212730,0.000000,0.00,2064,64512,1.455000,-85.38,5.00,PASS,macos-14-gha
1,2026-03-21T04:12:08Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,macos,arm64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,7.187000,0.071870,median,0.013570,0.003775,27.82,2080,11432,0.052930,-74.36,10.00,PASS,macos-14-gha
1,2026-03-21T04:12:08Z,7d8cf8992299a22919bfcf0fcae8656bb73316e4,refs/heads/master,23371678931,macos,arm64,clang,Release,performance,gjk,2000,0.0166667,0.234000,0.000117,total,0.000117,0.000000,0.00,2080,144,0.000672,-82.58,5.00,PASS,macos-14-gha
